match_id,match_seq_num,radiant_win,start_time,duration,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire,first_blood_time,positive_votes,negative_votes,radiant_score,dire_score
2305549514,2020366944,False,1461071769,2469,256,1844,48,63,89,1,0,,
2305542625,2020367641,True,1461071617,2647,1958,256,63,48,292,0,0,,
2305546798,2020360248,True,1461071719,2437,1846,0,63,0,75,0,0,,
2305563562,2020364768,False,1461072125,2208,256,1830,48,63,98,0,0,,
2305625455,2020370142,False,1461073641,803,2038,2047,63,63,6,0,0,,
2305543520,2020370577,True,1461071640,2776,1828,0,63,0,147,0,0,,
2305542877,2020371154,True,1461071622,2904,1958,0,63,0,114,0,0,,
2305521356,2020364788,True,1461071035,3038,1974,0,63,0,160,0,0,,
2305546603,2020366279,False,1461071699,2649,0,1974,0,63,38,0,0,,
2305558719,2020366775,True,1461072010,2095,1982,0,63,0,278,0,0,,
2305587701,2020366260,True,1461072730,1513,1982,0,63,0,43,0,0,,
2305517999,2020364797,True,1461070947,3142,1828,0,63,0,95,0,0,,
2305532664,2020368594,True,1461071345,2859,1572,390,31,51,92,0,0,,
2305541163,2020352710,True,1461071572,2395,1980,0,63,0,2,0,0,,
2305563083,2020363045,True,1461072115,2162,1982,256,63,48,79,0,0,,
2305543227,2020369057,True,1461071605,2797,1926,0,63,0,128,0,0,,
2305573308,2020372186,True,1461072365,2090,1972,4,63,19,102,0,0,,
2305556400,2020374112,False,1461071955,2634,0,1828,0,63,166,0,0,,
2301245539,2016692916,True,1460894565,2491,2047,0,63,1,98,0,0,,
2305489237,2020366772,False,1461070193,4209,0,1956,0,63,92,0,0,,
2305526846,2020369961,True,1461071188,3110,1572,0,63,0,294,0,0,,
2304945625,2019823551,True,1461051206,1535,1854,0,63,0,186,0,0,,
2305577305,2020366006,False,1461072453,1721,0,2022,0,63,158,0,0,,
2305560719,2020364927,True,1461072060,2002,1972,6,63,3,0,0,0,,
2305563575,2020365834,True,1461072125,2222,1982,0,63,0,124,0,0,,
2305563582,2020371843,True,1461072131,2082,2038,0,63,0,92,0,0,,
2305546075,2020366226,True,1461071684,2694,1796,0,63,0,300,0,0,,
2305548711,2020365590,False,1461071762,2474,0,1958,0,63,95,0,0,,
2305529316,2020368383,True,1461071251,3030,1828,4,63,3,13,0,0,,
2305534123,2020371734,True,1461071389,2997,1828,0,63,0,121,0,0,,
2305568990,2020374924,False,1461072264,2247,0,1974,0,63,124,0,0,,
2305550617,2020376924,False,1461071811,2906,0,1956,0,63,130,0,0,,
2304272496,2019280669,False,1461009912,3191,0,1956,0,63,52,0,0,,
2305580519,2020367744,False,1461072548,1731,256,1983,48,63,33,0,0,,
2305596939,2020374755,False,1461072967,1671,256,1983,48,63,76,0,0,,
2305541581,2020360527,False,1461071581,2397,4,1983,3,63,177,0,0,,
2305541822,2020375809,True,1461071596,2654,48,4,12,3,4,0,0,,
2305561889,2020378091,True,1461072078,2619,1974,0,63,0,117,0,0,,
2305527063,2020366971,False,1461071196,3219,0,1972,0,63,178,0,0,,
2305579435,2020370612,True,1461072529,1989,1854,0,63,0,0,0,0,,
2305573193,2020371654,False,1461072366,2103,0,1974,0,63,0,0,0,,
2305571023,2020372810,False,1461072316,2252,0,2046,0,63,77,0,0,,
